"filename", "language", "Markdown", "Python", "JSON", "HTML", "JavaScript", "XML", "JSON with Comments", "vue", "YAML", "PostCSS", "Properties", "Java", "MS SQL", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\TaskMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 18, 9, 69
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 27, 9, 65
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowConditionMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 18, 8, 49
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowHistoryMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 18, 8, 46
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowInstanceMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 18, 8, 47
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowNodeMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 18, 8, 49
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowTaskMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 21, 9, 53
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\WorkflowTemplateMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 12, 6, 34
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\AuthService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 42, 35, 209
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\CollaborativeDocumentService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 51, 20, 99
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\DocumentService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 51, 20, 100
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\service\EmployeeManagementService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 57, 77, 417
